programa	-1	-1	1
nFactorial@	-55	-2	1
variables	-15	-1	2
entero	-11	-1	3
n&	-51	1	3
,	-76	-1	3
index&	-51	2	3
,	-76	-1	3
resultado&	-51	3	3
;	-75	-1	3
inicio	-2	-1	4
index&	-51	2	5
=	-26	-1	5
1	-61	-1	5
;	-75	-1	5
resultado&	-51	3	6
=	-26	-1	6
1	-61	-1	6
;	-75	-1	6
hacer	-17	-1	8
inicio	-2	-1	9
resultado&	-51	3	10
=	-26	-1	10
resultado&	-51	3	10
*	-21	-1	10
index&	-51	2	10
;	-75	-1	10
index&	-51	2	11
=	-26	-1	11
index&	-51	2	11
+	-24	-1	11
1	-61	-1	11
;	-75	-1	11
fin	-3	-1	12
hasta	-10	-1	13
(	-73	-1	13
index&	-51	2	13
<=	-32	-1	13
10	-61	-1	13
)	-74	-1	13
;	-75	-1	13
fin	-3	-1	14
