programa	-1	-1	1
parOImpar@	-55	-2	1
variables	-15	-1	2
entero	-11	-1	3
n&	-51	-2	3
,	-76	-1	3
resto&	-51	-2	3
;	-75	-1	3
cadena	-13	-1	4
resultado$	-53	-2	4
;	-75	-1	4
inicio	-2	-1	5
si	-6	-1	6
(	-73	-1	6
(	-73	-1	6
n&	-51	-2	6
/	-22	-1	6
2	-61	-1	6
)	-74	-1	6
*	-21	-1	6
2	-61	-1	6
==	-35	-1	6
n&	-51	-2	6
)	-74	-1	6
inicio	-2	-1	7
n&	-51	-2	8
=	-26	-1	8
2	-61	-1	8
;	-75	-1	8
fin	-3	-1	9
sino	-7	-1	10
inicio	-2	-1	11
n&	-51	-2	12
=	-26	-1	12
1	-61	-1	12
;	-75	-1	12
fin	-3	-1	13
fin	-3	-1	14
fin	-3	-1	15
